Date,SB1 (Wide Buffer),Swap30 (Force Swap),Hybrid (Super Rookie),S&P 500
2021-12-29,131429.34624570608,115263.90514942177,125097.39085281134,131123.24165404745
2021-12-30,129849.62446683645,114568.25652919777,123628.21593559027,130760.75473543612
2021-12-31,129823.3442658782,114712.60483108528,123544.49200332403,130431.18170700027
2022-01-03,131610.37052625418,115337.04189352044,125042.00087440253,131186.3937964892
2022-01-04,133128.67166227102,116625.43540719994,126196.63279235602,131142.44954473403
2022-01-05,130056.78704541922,114803.54694723137,123336.09287154913,128624.23128568477
2022-01-06,131714.58350080252,115447.00837301262,124666.15463531256,128503.40231281432
2022-01-07,131706.91560834646,115137.08006414422,124609.79920470953,127995.35891999205
2022-01-10,131156.07848066092,114637.45135099419,124122.09511077643,127836.10530602033
2022-01-11,132703.9200181365,115520.05784017572,125437.2387779975,129000.47736215414
2022-01-12,133521.7873745322,116047.55882501611,126199.05430013419,129349.20512290746
2022-01-13,132147.21370891333,115244.55670404443,125002.48140699149,127566.97334320426
2022-01-14,134295.67336086035,115715.08335466393,126931.19647771597,127619.1394227072
2022-01-18,133462.25277522803,114535.41626901635,126116.19269735098,125359.04934407889
2022-01-19,130890.41533092261,112753.32335888871,123902.20751172781,124057.39579985093
2022-01-20,127866.77738837004,111205.86752545365,121129.64227849722,122684.31512706446
2022-01-21,125225.15422705412,109300.52890767106,119040.65271932364,120275.94863767503
2022-01-24,126766.74537924529,109965.35884082803,120069.34158307791,120786.72082677567
2022-01-25,129570.84364584685,110151.33041437158,122207.12184697867,119312.04565098978
2022-01-26,128623.77819708586,109631.71023807535,121532.33639318228,119012.69315536384
2022-01-27,127737.14744452239,109306.6619154168,120978.13827687979,118425.03624514797
2022-01-28,129096.53532294034,110356.64158293733,122777.97982198477,121366.16476897195
2022-01-31,129456.43321493865,111166.35921465882,123143.91754132987,123552.08120330701
2022-02-01,133632.41327475308,112812.92011744509,126892.06025642873,124386.93338937408
2022-02-02,134887.86365317105,114056.12168662081,128357.82517094136,125595.23197780673
2022-02-03,133015.69820593594,112674.98706595431,126454.38286060811,122643.11739104394
2022-02-04,133749.99865290165,112518.21050766477,126132.12342202188,123219.81481750554
2022-02-07,133511.30781504154,112166.26423408042,125393.4519284916,122824.37856980597
2022-02-08,132357.29888864994,112297.59643037329,124147.24195611001,123834.94574479658
2022-02-09,133468.63376375675,113246.05976438055,125515.7929681492,125647.41577676604
2022-02-10,133322.63097616672,112744.24091681013,125432.51347958566,123390.08993332878
2022-02-11,136264.2376083994,112687.4181166316,127368.00831067086,120956.97822314253
2022-02-14,132454.79882952213,111307.94817828665,123732.93755661965,120561.53311571477
2022-02-15,132500.0506462717,112412.76484382879,124111.15757596017,122505.81818349348
2022-02-16,134972.56957766056,113385.10711954365,125985.4613412571,122643.11739104394
2022-02-17,136261.78507181644,113031.41638262043,126240.01734673501,120023.29576926716
2022-02-18,135252.79821154117,112368.57734758625,125166.13460099221,119246.12927335699
2022-02-22,133079.42899080753,111353.2031957079,123587.34449707986,117966.42127582213
2022-02-23,133863.74651285648,110825.05038942586,123917.47081887246,115873.85979728233
2022-02-24,134593.68484255314,111067.12817327748,125193.38882767678,117617.64035669975
2022-02-25,140160.71264502048,114443.28860567343,130391.59090268136,120212.77877577694
2022-02-28,144065.8112587595,115535.41486456644,133678.47226941108,119905.19559267505
2022-03-01,143708.90789839267,114915.13833620798,132694.09292637825,118079.01070148847
2022-03-02,146498.15333601477,116746.18045248758,135505.75374257087,120251.23885579091
2022-03-03,147945.52453371524,116874.5790151478,136988.67948472023,119652.52500481083
2022-03-04,152338.94117590427,118491.58732121241,140902.32718121528,118680.42676956236
2022-03-07,153869.20886569977,117697.4334234072,141692.3341097975,115181.83528914787
2022-03-08,150599.38470035553,116366.00481165183,138995.2775912428,114308.55846197954
2022-03-09,149307.64006381988,116755.90117433798,137978.24389602186,117373.24475495232
2022-03-10,154163.65798526764,118316.86494234335,142569.62827636243,116843.2469557088
