,Day 1,Day 5,Day 10,Day 15,Day 20,Day 25,Split (1/10/20),S&P 500
2024-04-05,183148.5275190809,163948.30463681484,183248.54509336496,171221.11491723565,165834.91501369735,216407.83516763482,177410.66254204776,147333.69138448138
2024-04-08,183443.11876473215,163551.51682553554,184070.00047666574,170042.3953966668,164808.62470379134,215458.3737265948,177440.5813150631,147416.0779967942
2024-04-09,182108.60354409006,162542.260607579,180897.85805875802,168958.65025659112,164548.45368328353,214520.0907676104,175851.63842871055,147586.61890446272
2024-04-10,180968.1368196943,160230.11253247524,179494.64417252564,166830.45221276788,161919.89130916854,211588.1711509112,174127.55743379614,146108.81624463058
2024-04-11,182472.6093653181,161907.35622678066,181078.73064789796,167927.3892550042,164436.39897671004,212741.54663156305,175995.91299664203,147211.48915374358
2024-04-12,179137.39799866464,159141.02897916103,178208.24530396485,165369.453597503,161270.71729412337,209432.7756202105,172872.1201989176,145179.51049647434
2024-04-15,176887.5544317701,157257.19777570036,176809.68898758915,163862.2606519368,159327.49440899154,207890.13046335016,171008.2459427836,143360.67917967425
2024-04-16,175357.3041609266,156435.68728528285,175498.23049912477,162775.009011617,158274.21228161117,206533.66743539606,169709.91564722083,143099.22860118715
2024-04-17,173586.10533509043,154630.8005169418,174231.73777756715,161751.02635323076,156443.0042394664,204951.6468741778,168086.94911737464,142252.3360445283
2024-04-18,173348.4603632429,153317.08611951137,173721.33803925538,160151.0274690297,155060.23381939193,205062.33110116754,167376.67740729672,141959.61062557832
2024-04-19,171882.74970993784,152324.53984723354,172300.76131806397,160039.46051537065,152791.1004690196,204059.88423227106,165658.20383234046,140720.551060917
2024-04-22,175157.0486582258,153925.3637035873,174732.4592283728,162007.34202896623,154761.16358326218,207141.5639808062,168216.8904899536,142016.45464155843
2024-04-23,177920.0453203657,156831.22886166835,177246.71586213136,164933.49306046037,157105.86406086228,209796.0271689776,170757.54174778642,143701.7078366422
2024-04-24,177610.06120667246,157703.98566708827,178624.14876542115,165212.9057706502,157221.04840992234,210841.87882303033,171151.7527940053,143633.4967894117
2024-04-25,177518.15722832468,157340.79954800868,179077.857398844,164100.60388886003,158269.7416777446,210027.90570193087,171621.91876830443,143087.85271020856
