,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2022-12-14,146861.1777896881,145128.86381816864,142681.3223285675,139592.8554573059,130580.15421676636,126624.57027721405,110951.17235899721
2022-12-15,145769.55607414246,144051.8301000595,141495.63980674744,138345.89953804016,128627.53935050964,124926.07131290436,108237.11890879343
2022-12-16,145075.90601158142,143363.17769527435,140394.06233787537,137481.7197113037,127999.0860862732,124429.96025753021,106959.26270766206
2022-12-19,143961.21916007996,142250.0255498886,139267.803937912,136538.6986732483,127208.10932540894,123718.61181259155,106052.274695139
2022-12-20,144334.63723182678,142624.59402751923,139442.67966651917,137037.6278476715,127721.41414451599,124154.4838142395,106197.39702981184
2022-12-21,146211.07535362244,144482.41342830658,141342.8842601776,139182.11547851562,129790.95345306396,125876.46047878265,107785.30825073631
2022-12-22,143594.90945625305,141875.35882854462,139771.3965396881,137532.29050445557,128377.54111289978,124701.60467720032,106247.63168412166
2022-12-23,144143.16533088684,142421.9477186203,140251.65960121155,138021.8892211914,128964.69751548767,125219.47581386566,106858.79339904238
2022-12-27,142005.29914665222,140293.83906459808,139450.96960639954,137407.48137283325,128515.13290596008,124935.86033821106,106437.40704484767
2022-12-28,140004.2814731598,138301.61158275604,137114.44088363647,134921.11630439758,126308.57436561584,123034.53058433533,105114.59658693179
2022-12-29,140465.94235420227,138757.5651731491,137985.77867507935,135737.57154273987,127110.797498703,123742.42229747772,107006.69768811615
2022-12-30,140720.6771030426,139009.39087963104,138381.12296676636,136043.31197547913,127259.01596260071,123846.74677562714,106724.82546115544
2023-01-03,138632.45197868347,136927.42675685883,136630.41003227234,134738.45471954346,126294.62820243835,122847.34517097473,106275.56640458707
2023-01-04,139888.82517814636,138179.66628170013,137984.3855457306,136395.64183425903,127801.19834327698,124148.5203371048,107096.0125999499
2023-01-05,140749.2444896698,139037.68826961517,138505.7497253418,136588.18229103088,127913.87378311157,124205.05971336365,105873.67145065367
2023-01-06,144643.7016506195,142910.54180812836,141417.7905292511,139764.4761314392,130821.41391563416,126732.16648292542,108301.59114502142
