,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2021-07-09,113519.29223333835,113607.88684013842,111186.90459838865,110082.96078626157,108060.92570823192,106703.39207735541,118801.08021359387
2021-07-12,113868.86090551852,114170.41276482106,111615.03475172042,110559.36736054899,108406.09206801892,106991.70283926491,119226.60413588096
2021-07-13,112634.4698876047,112856.06912544726,110744.57606336591,109634.06611390591,107707.26827003002,106406.83646124367,118820.1729295057
2021-07-14,111880.31855856418,112097.58529976368,109367.25840017316,108348.92577363491,106721.92665408611,105588.31279501443,118997.47382548123
2021-07-15,111335.3725250864,111391.08394173144,108502.48899671552,107343.4254474783,105901.74686053753,104913.84232859139,118591.04261910598
2021-07-16,109436.39503373145,109531.5572197771,106592.2120363426,105561.78086091518,104483.97858785152,103736.55927490717,117660.85967544864
2021-07-19,106703.36100853918,107246.89004829882,104088.5417500305,103444.47496610165,102615.75144917965,102191.32203861719,115923.24533289413
2021-07-20,108628.74909104346,109136.45698097705,105641.97022064208,105092.628285079,104260.37441201687,103547.25493637567,117584.47109234345
2021-07-21,109920.23518647192,110042.38536766528,107188.93284042357,106610.94191422939,105522.03791947842,104587.36318985467,118536.49326789065
2021-07-22,108596.60137290001,109180.92128153323,106531.02676361083,106084.76329125882,105049.67058972835,104188.12994446282,118784.70743447322
2021-07-23,108884.47384757042,109936.59265680789,106957.92860191345,106552.30410378933,105606.7209912634,104647.3414795733,120006.76528903493
2021-07-26,109664.4173595333,110610.39920969485,107542.80551146982,106962.00200625896,106068.06158687592,105032.42208134657,120301.36899645938
2021-07-27,109991.08085173606,111022.1651742029,107083.45133780954,106505.90412303449,105618.63762714386,104662.71665608411,119753.08466968317
2021-07-28,110582.61100882529,111298.29958887576,107640.4811782789,106977.47366317273,106127.41690540314,105082.27401097302,119703.96633232117
2021-07-29,111476.18558615683,112294.98307962893,107762.66175078867,107273.58512307645,106365.69325122834,105280.73398301129,120200.44782386009
2021-07-30,110379.64805525779,111615.52661295413,107017.0663585615,106456.89862443449,105673.21358137131,104709.35087868695,119616.70686178035
2021-08-02,109378.09015196799,111004.6478898096,106405.69050406931,105788.08726502897,105304.45320333481,104404.35503075604,119365.72845976181
2021-08-03,110822.6607944393,112432.24276895999,107870.22900008677,107235.49463654995,106651.55270421982,105516.36138058668,120336.81677203394
2021-08-04,108947.98192900658,111150.9066788721,106522.34570121286,105913.01303864957,105708.5901855278,104732.29337407117,119744.89828012283
2021-08-05,109817.28112143515,111536.21354074954,107351.86059188364,106640.32022859098,106351.53523368837,105257.22348290449,120503.22906111593
2021-08-06,110719.79381484032,112347.44927378176,107938.99376105783,107274.64447785856,107067.6211782074,105849.90729508405,120702.35146952338
2021-08-09,110895.62140769004,112606.81533976078,107663.52236800668,107162.57353875638,107196.0964780426,105958.62316353802,120604.15909344418
2021-08-10,111869.43530005454,113091.60713358401,108915.26228194711,108126.61300179959,108056.81199699402,106680.08086236005,120754.18088394756
2021-08-11,113176.51161307334,114399.85368891238,110251.61530547617,109215.76683928967,108884.89623241425,107361.163439951,121054.23332468329
2021-08-12,113413.1112987423,114330.71897669314,110519.15630965709,109592.90097499371,109176.08927314758,107591.9542325688,121417.03036592364
2021-08-13,113336.53478545188,114540.20429827213,110392.95789046763,109333.67619163037,108984.7118770218,107437.4083649159,121638.00086594991
2021-08-16,112194.52724188803,113520.00955034731,109312.98042960642,108534.34569556714,108447.55139736176,106987.66230046278,121924.41818381404
2021-08-17,111362.23561400412,111829.20689608097,107904.76182647227,107182.35619201185,107394.96956047058,106123.21828507428,121125.1554550193
2021-08-18,110128.87595862387,111333.15622164248,107073.13365836619,106290.06663932324,106619.46189468383,105490.8914352513,119799.43877160922
2021-08-19,108295.32472151755,109527.01100756167,105425.24614425181,104960.82963525773,105596.90382996082,104633.67629532819,119984.91719741611
2021-08-20,109762.40662688256,110908.4021475458,106638.8722810316,106427.53478586198,106751.19218773364,105581.93932753091,120939.67702921238
2021-08-23,110819.34163222312,111558.39417864321,107921.914157176,108109.62424154283,108075.10346931934,106667.11271364693,122003.5001245235
2021-08-24,112338.96951613425,112591.89010836123,108924.60735633371,109014.30245485307,108767.77498451709,107241.89175306802,122197.2180982645
2021-08-25,113177.29100165366,112611.8886053705,109124.49101760387,109315.60415281297,109015.7485277605,107447.62892923836,122453.60979467843
2021-08-26,111863.83316931724,111232.93416048527,107853.9884388685,108160.26279844285,108027.22387814044,106631.61341271881,121730.74450871783
2021-08-27,114360.45923552512,112813.22419573306,109669.0649826765,109939.37299741746,109433.55351135254,107789.8138107777,122819.11791298099
2021-08-30,112900.76314291953,111713.38666368961,108745.00637557505,109247.72510923387,108927.69695732117,107362.34168095593,123359.2335696548
2021-08-31,113136.0307995224,111565.79048372745,108532.90594051837,108874.36396417618,108659.85660800934,107143.5897004414,123176.46622091008
2021-09-01,112048.72039951323,110947.9197218561,107657.64308689593,108271.78172324182,108300.53303085327,106842.40422207837,123241.9218984769
2021-09-02,113669.6410690689,111482.4953367853,108511.53127048968,109353.25687621118,109166.93309322358,107555.93933274274,123621.08285910895
2021-09-03,112932.58660091399,110772.0950152278,107941.35461760042,108950.67597887994,108812.41655591966,107258.70779093748,123591.08381684565
2021-09-07,112245.22131122589,110198.88144558668,107253.43359899995,107936.41471598626,107900.70900777816,106509.1841188336,123149.19597516689
2021-09-08,110541.80410541533,109067.70123547316,106403.46638250827,107460.93393797876,107493.5597351265,106163.03429503446,122999.16532493455
2021-09-09,111249.91130031584,109908.77108067274,107201.37618971345,107805.9995221615,107740.5544470787,106371.91249033934,122472.69365086129
2021-09-10,111246.78775180815,109974.99927204847,107298.46416235446,107751.93885512353,107531.3884768486,106201.33981120115,121507.03635244249
2021-09-13,112803.77454914092,111463.69628208876,109291.07859564302,109128.24020857812,108649.1563163948,107133.31200713164,121818.02169871658
2021-09-14,111717.22602237701,111054.73040169477,108690.7820334482,108457.91937537194,108013.21046697616,106611.60029047972,121160.62980978073
2021-09-15,114785.3245808029,113473.31818455458,111146.19284773347,110623.37779517175,109930.60362398147,108181.82670325285,122172.64121012557
2021-09-16,114395.50033512115,112851.66685085058,110589.84519341945,110096.94708239558,109581.63855272293,107893.47080412871,121978.95867530043
2021-09-17,113647.9941915512,112341.27852515936,110066.74761155604,109508.2675093365,109095.32999353409,107501.37494017606,120790.77156455815
2021-09-20,110708.86704959869,110067.52052287817,107374.53204873561,107169.27051243784,107139.46093582154,105898.88116820341,118776.6805200342
2021-09-21,111306.14030017852,110273.9206970191,107405.04943994044,107257.54306683542,107205.50585674286,105952.07163508421,118664.48091246701
2021-09-22,113737.56205501556,112090.47945670843,109273.41543534755,108435.92767415049,108105.40727199556,106705.23574107175,119822.03108046079
