Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
TMUS,19.303175,16.306168,3.7093344,2.6292593,10.513,0.19034,0.13826999,0.2223,0.089,-0.077,Communication Services
CF,9.987907,11.145595,2.6860914,1.9861887,5.698,0.21967,0.20472,0.33936,0.211,0.416,Basic Materials
YUM,30.31579,23.349915,-5.760854,5.3567257,19.376,,0.17951,0.34410998,0.084,0.044,Consumer Cyclical
TFC,13.571045,11.365601,1.0839632,3.570635,,0.07982,0.28605,0.39318,0.025,0.048,Financial Services
IR,63.34074,24.017235,3.337627,4.5568247,19.033,0.05382,0.07309,0.20476,0.051,0.13,Industrials
HAL,21.609272,14.838226,2.6960258,1.256738,8.116,0.12788,0.05913,0.12857,-0.017,-0.969,Energy
ADP,26.234713,22.269846,16.898743,5.1552334,18.015,0.70572996,0.19788,0.25891,0.071,0.064,Technology
STZ,23.076923,11.879556,3.3054507,2.7274644,10.232,0.14454001,0.11826,0.33917,-0.098,-0.15,Consumer Defensive
LOW,22.120033,20.589664,-14.4391,1.7790262,15.616,,0.08045,0.1192,0.032,-0.037,Consumer Cyclical
HOOD,48.029163,44.077778,12.0916815,24.654972,,0.27816,0.52188,0.51805,1.0,2.595,Financial Services
FTNT,32.600822,27.05592,80.0202,9.26108,26.202,2.28043,0.28584,0.31648,0.144,-0.114,Technology
AIZ,14.512196,11.473186,2.0746706,0.955492,8.554,0.15413,0.06753,0.11153,0.089,1.027,Financial Services
EQIX,73.56158,52.478146,5.550893,8.658355,25.003,0.077,0.118,0.21851999,0.066,0.229,Real Estate
KO,23.347683,21.887728,9.70811,6.366606,20.709,0.42442,0.2734,0.32373002,0.051,0.301,Consumer Defensive
NTRS,16.986015,15.303568,2.2832882,3.5027387,,0.13432,0.21761,0.30332002,0.042,0.032,Financial Services
SNPS,64.93696,31.020874,3.4492857,14.247885,84.184,0.0716,0.18886,0.053839996,0.378,-0.665,Technology
XYL,36.00258,25.111229,3.0350895,3.823948,18.957,0.08555,0.10659,0.15653,0.078,0.045,Industrials
